,anonymize_text
68,"Subject: NAME: 12/12/1989

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute sinusitis

Assessment: NAME returned for a follow-up visit. She reported improvement in her symptoms, with less headache and facial pain. Vital signs are within normal limits.

Plan: Continue current medications, advise warm compresses, and schedule a follow-up visit in DATE."
69,"Progress Note 3:

Patient Name: NAME: DATE
Time: 11:00 AM

Subjective:
NAME reports feeling persistent cough and chest congestion. No changes in appetite or sleep patterns reported.

Objective:
Vitals: BP: 120/80 mmHg, HR: 68 bpm, RR: 16 breaths/min
Physical examination: Mild wheezing observed during breathing exam

Assessment:
Possible symptoms of respiratory infection

Plan:

Prescribe antibiotics for symptom relief
Schedule a follow-up appointment in DATE
Advise to stay hydrated and get plenty of rest
Consider referral to pulmonologist for further evaluation if symptoms persist
Progress Note 4

"
70,"Progress Note 2:

Patient Name: NAME: DATE
Time: 10:00 AM

Subjective:
NAME reports feeling pain in her lower back. No changes in appetite or sleep patterns reported.

Objective:
Vitals: BP: 118/76 mmHg, HR: 72 bpm, RR: 18 breaths/min
Physical examination: Mild tenderness observed in lower back

Assessment:
Possible symptoms of lower back pain

Plan:

Prescribe pain medication for symptom relief
Schedule a follow-up appointment in DATE
Advise to rest and avoid heavy lifting or strenuous activity
Consider referral to physical therapist for evaluation and treatment


"
71,"Subject: NAME: 12/12/1989

Progress Note: DATE
Chief Complaint: Acute sinusitis and headache

Assessment: NAME presented with a headache and facial pain for DATE. Vital signs are within normal limits. A sinus x-ray showed evidence of acute sinusitis.

Plan: Prescribe antibiotics and decongestants, advise warm compresses, and monitor symptoms.

"
72,"The cook ran back to the kitchen for a fresh supply; but, luckily, the hired man, sighting the chain extending from Step’s wrist, laid hold upon it, and tugged with all his strength, and the dog, recognizing his voice, changed tactics, and charged from under the porch, bounding over the prostrate Step so swiftly that he turned a complete somersault, when the chain tautened again. The old lantern, still smoking voluminously, fell between boy and dog.

“Jee-rusalem!” gasped the hired man in bewilderment.

“Sa-sakes alive!” quavered the cook, who had reappeared with a freshly filled bucket.

Poke began to laugh hysterically; but NAME kept his wits. He caught the bucket from the woman’s hand, and plunged the lantern into the water. There was a long, hissing sound, a final puff of steam—and then comparative peace.

Step sat up. The dog, trembling like a leaf and whining weakly, crawled to the[121] hired man. From the vantage ground of the porch the cook spoke wonderingly and reprovingly:

“Well, I vum, but you boys do beat my time! What on earth do you think you’re up to? Playin’ horse with poor Hector there?”

“No—not a bit; ’twasn’t that at all!” protested Step.

The cook sniffed. “Feathers—burnin’ feathers! I can tell ’em every time! But what’s your notion in puttin’ ’em in that thing?” And she pointed at the ancient lantern.

Step got upon his feet. He fumbled at the chain at his wrist; and, by an irony of fate, the old catch now gave at a touch. Step rubbed the flesh into which the links had sunk. He tried to summon a propitiating smile.

“Oh, the feathers?” he said very mildly. “Oh, yes; the feathers. Why—why, we—we thought Hector there—he—well, he ought to know about ’em.”

“Land o’ love! but the boy’s crazy!”

The hired man scratched his head. “Must say it looks like it, NAME. Still, I dunno—boys’ll[122] be boys. And this young man acted ’sif he was willin’ to learn same time NAME did. They were sharin’, and sharin’ alike, on the smudge-pot, te he!”

Step scowled, but Poke burst into a roar of laughter, which eased the situation. The cook chuckled; NAME smiled. The hired man smote his thigh with his hand.

“Gee-whillikens! but I never saw the like of it! And I guess no great harm’s done. Don’t seem to be no fire under the porch.”

Then Poke found tongue. “It’s this way: The dog stole a chicken, and got us into a scrape. We thought we’d—er—er—we’d teach him a lesson and sicken him of stealing. And feathers and chickens go together—and—er—er—get the idea, don’t you?”

“Sorter!” grinned the hired man. “Kind o’ think I do, sonny. And t’other fellow got tangled up, somehow. Wal, yes, I do see how ’twas.”

“Then, if you don’t mind, we’ll be going home.”

The hired man waved his hand. “I would, if I was you,” he said. “I’d go home and get into some dry clothes.”

[123]

The three friends moved down the drive, with Step, a truly disconsolate and melancholy figure between the other two. For a little none of them spoke. It was left to Poke to break the silence with one of his bits of philosophy.

“You’ve got to live to learn,” quoth he. “Now, who’d have thought—no use, though, crying over spilt milk! And what on earth made Step want to chain himself up—no; we won’t talk about that, either. But I say, NAME, I tell you there’s a lot of sense in that notion of yours! Safety First for me after this—yes, sir; Safety First every time!”"
73,"NAME, following his enemy at a more moderate pace, was burdened by a peculiar sense of helplessness. He was troubled by no doubts of the justice of his cause; but he was annoyed and perplexed by the obstacles NAME threw in his way. They were the harder to consider philosophically because he was quite sure that he was obeying his new rule of ORGANIZATION, and that Orkney’s guilt was clearly established. At the same time he had to admit that NAME had offered valid grounds for delaying combat. Altogether the case struck him as one of difficult application of entirely sound principles.

As he turned a corner, however, he forgot Orkney for a little; for within a dozen yards of him he beheld two men in conversation. And one of the men was Major NAME. The other was NAME.

NAME almost halted. He gazed in surprise at the two. The Major had never appeared to[160] be straighter, or fiercer, or more bristling; while NAME’s slouch was never more pronounced. The ne’er-do-well was listening sulkily to the Major’s very energetic remarks, occasionally growling a brief reply to the veteran.

As it chanced, NAME had not met the Major since the night he had made confession. A glance was enough to show that he had nearly recovered from the effects of his wounds; and the ear testified that the vigor of his speech was in no wise abated.

After a second’s hesitation NAME advanced. As he neared the men, NAME, seeming, of a sudden, to catch sight of him, wheeled and shuffled off, growling as he went. The Major swished his cane, as if he regretted that it might not descend upon the retreating legs. Then he, too, saw the boy, and the severity of his expression lessened a trifle.

“Ah, young man!” he said. “Ah, good-morning!”

“Good-morning, sir,” said NAME.

The Major tapped the sidewalk smartly with his cane. “I’m out of hospital. Am I to regard myself as in receipt of your felicitations?”

[161]

“’Deed you are, sir!” NAME assured him with unfeigned warmth.

The Major’s eyes twinkled. “Mutually satisfactory state of things, eh? I’m pleased myself. Fact is, I’m so overflowing with good will this morning that I’ve been trying to improve that vagabond.”

“Yes, sir,” said NAME.

“By NAME! but I fancy I made it clear even to his befuddled wits that there is no profit in persistently remaining a social liability. I warned him that if he didn’t mend his ways he’d end in state’s prison. Big, hulking brute like that’s liable, some time, to commit a felony.”

NAME glanced at the retreating NAME. The fellow was big and hulking, and brutish as well—an ugly customer, in short.

“Has he been bothering you again, sir?”

“No,” answered the Major. “I rather anticipated some of his characteristic attentions, but he has quite neglected me. Not that I complain—certainly not! Only I took occasion to point out to him the exceeding unwisdom of again annoying me. Odd, too, how he took the advice. Leered at me, and mumbled,[162] but made no distinct threats. But I must not detain you, young man. You, I infer, are on your way to school?”

“Yes, sir,” said NAME again.

“Then proceed. A moment, though!” The Major’s bushy eyebrows met in a frown, which wholly lacked ferocity. “Your holidays are at hand, I believe. DATE, when you’re at leisure, I should be glad to show you my modest collection of weapons of war and the chase. Ought to interest you, as a budding sportsman with a promising record of large game!”

The Major’s eyes were twinkling once more. NAME blushed hotly.

“I’ll be very glad to come, sir,” he said.

“Then I have the honor to wish you a very good morning,” quoth the Major; and they parted in friendly fashion.

Both Major NAME and NAME soon lost first place in NAME’s consideration. The school session promptly put the Orkney affair to the fore.

The NAME prize for declamation was one of the great honors of the course, and competition[163] always was keen. The contest covered a full term, two boys and two girls entering the lists each DATE. Usually they were seniors, elocution being part of the required work of DATE, but sometimes juniors volunteered, often with a notion of “working off” the requirement ahead of time, but occasionally with a hope of winning.

There could be no doubt that NAME did his best to win. As it happened, he was fortunate in his competitors. The other boy was a senior, who took the platform simply because he had to take it, and who raced through his selection with an eye single to ending the ordeal in a minimum of time. Then two girls performed conscientiously but ineffectively. And then came Orkney, junior and volunteer.

NAME had chosen an ancient favorite “speaking piece,” so ancient, indeed, that a giggle ran through the hall when the principal announced, “The Parting of Marmion and NAME.” But the merriment quickly died, as the boy swung into NAME’s stirring verse.

“Good work!” was the involuntary and whispered tribute of ORGANIZATION, who sat beside[164] Sam. “Awfully good work, confound him!”

NAME nodded. Orkney was revealing unexpected dramatic fire; and, unpopular as he was with his audience, was capturing its admiration. One might suspect that he had had professional coaching, but one could not deny that it had been worth while.

There was loud applause—not the customary ripple of hand-clapping but a spontaneous and hearty demonstration—and NAME was smiling when he made his bow to his schoolmates, and another bow to the principal, and came down the steps from the stage. It was not a pleasing smile, for there was in it more than a trace of supercilious triumph.

“Hang the chump! Look at the smirk of him!” complained Step.

NAME made no answer. Orkney was approaching, and for an instant the eyes of the rivals met. NAME’s expression did not change, but the other’s smile lost the little charm it had. NAME found it bitterly taunting; it seemed to say to him, “This was what you schemed to prevent, eh? Well, you didn’t do it, did you?”

[165]

Step drove an elbow into his ribs. “You can’t spoil that mug by pounding it! Say, though! When are you going to get at it?”

“Soon as I can,” said NAME simply.

“Date with him?” whispered Step eagerly.

“Not exactly.”

The classes were rising to march out of the hall, but Step found time to make a suggestion.

“Maybe you can catch him down at the pond this afternoon. They say the ice is at last strong enough to hold.”

“I’ll be there,” NAME promised.

Mild as the season had been, the temperature had been falling steadily, if slowly; and the skim of ice on the big mill-pond on the outskirts of ORGANIZATION had thickened until it had been for DATE in rather perilous use by venturesome skaters. Now, however, NAME believed it was reasonably safe; and when he descended the slope to the pond, its surface was dotted with swiftly gliding figures."
74,"Subject: NAME: 01/01/1990

Progress Note: DATE
Chief Complaint: Acute gastroenteritis and abdominal pain

Assessment: NAME presented with abdominal pain, nausea, and diarrhea for the past 24 hours. Vital signs are elevated and a stool sample showed evidence of a viral infection.

Plan: Prescribe NAME and antidiarrheal medications, advise fluid replacement and electrolyte balance, and monitor symptoms."
75,"Progress Note 2:

Patient Name: NAME: DATE
Time: 11:00 AM

Subjective:
NAME reports continued symptoms of headaches, but reports slight improvement with pain medication. No changes in appetite or sleep patterns reported.

Objective:
Vitals: BP: 118/76 mmHg, HR: 68 bpm, RR: 16 breaths/min
Physical examination: No signs of distress or abnormalities observed

Assessment:
Possible symptoms of migraine headaches, ongoing management needed

Plan:

Continue current pain medication
Schedule a follow-up appointment in DATE
Advise to stay hydrated and get plenty of rest
Consider r"
76,"Subject: NAME: 06/06/1995

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute sinusitis

Assessment: NAME returned for a follow-up visit. She reported improvement in her symptoms, with only occasional headaches and less congestion. Vital signs are within normal limits.

Plan: Continue current medications, advise saline nasal rinses, and schedule a follow-up visit in DATE."
77,"Date: 9/1/2021
Patient: NAME:

Patient is a DATE male who presents with symptoms of depression and anxiety. DATE was his first session with me. 
NAME reports feeling overwhelmed with stress from work and relationship issues. 
He reports difficulty sleeping and feeling hopeless about his future. 
He reports feeling sad for DATE.

During the session, NAME and I discussed different coping strategies for managing his stress and anxiety, including exercise, mindfulness, and therapy.
I also provided him with some educational resources on depression and anxiety. He was receptive to the information and is eager to start implementing the strategies.

I will continue to work with NAME on developing healthy coping skills and addressing his depression and anxiety symptoms. 
We have scheduled another session for DATE.

Assessment: Depressive disorder and Generalized Anxiety Disorder
Plan: Continue therapy, provide educational resources, and develop healthy coping skills.

Signed,
NAME, LCSW"
78,"Subject: NAME: 01/01/1980

Progress Note: DATE
Chief Complaint: Chest pain and shortness of breath

Assessment: NAME presented with chest pain and shortness of breath for DATE. Vital signs are within normal limits. ECG shows normal sinus rhythm with no evidence of acute ischemia.

Plan: Administer aspirin, provide supplemental oxygen, and transfer to the cardiac care unit for further evaluation and management.

Progress Note: 01/02/2021
Chief Complaint: Chest pain and shortness of breath

Assessment: NAME underwent a coronary angiogram that showed a blockage in the left anterior descending coronary artery. He underwent successful angioplasty with stenting. He is currently in stable condition.

Plan: Administer aspirin, continue with supplemental oxygen, monitor vital signs and blood pressure, and start heparin and clopidogrel for anticoagulation.

Progress Note: DATE
Chief Complaint: Chest pain and shortness of breath

Assessment: NAME's vital signs are stable and within normal limits. He is breathing comfortably without supplemental oxygen. ECG shows normal sinus rhythm with no evidence of ischemia.

Plan: Continue with aspirin, heparin, and clopidogrel. Monitor vital signs and blood pressure. Encourage deep breathing and coughing exercises.

Progress Note: DATE
Chief Complaint: Chest pain and shortness of breath

Assessment: NAME is feeling much better and has no chest pain or shortness of breath. He is walking around the unit and is able to breathe comfortably without supplemental oxygen.

Plan: Continue with aspirin, heparin, and clopidogrel. Monitor vital signs and blood pressure. Encourage deep breathing and coughing exercises. Discharge with follow-up appointment in DATE.



"
79,"Subject: NAME: 06/06/1995

Progress Note: DATE
Chief Complaint: Acute sinusitis and headache

Assessment: NAME presented with a headache and congestion for DATE. Vital signs are within normal limits. A sinus x-ray showed evidence of acute sinusitis.

Plan: Prescribe antibiotics and decongestants, advise saline nasal rinses, and monitor symptoms."
80,"Progress Note 1:

Patient Name: NAME: DATE
Time: 10:00 AM

Subjective:
NAME reports feeling slightly dizzy and experiencing headaches over DATE. No changes in appetite or sleep patterns reported.

Objective:
Vitals: BP: 120/80 mmHg, HR: 72 bpm, RR: 18 breaths/min
Physical examination: No signs of distress or abnormalities observed

Assessment:
Possible symptoms of migraine headaches

Plan:

Prescribe pain medication for symptom relief
Schedule a follow-up appointment in DATE
Advise to stay hydrated and get plenty of rest
Progress Note 2:

"
81,"Subject: NAME: 07/07/1993

Progress Note: DATE
Chief Complaint: Acute sinusitis and headache

Assessment: NAME presented with a headache and congestion for DATE. Vital signs are within normal limits. A sinus x-ray showed evidence of acute sinusitis.

Plan: Prescribe antibiotics and decongestants, advise saline nasal rinses, and monitor symptoms.

Subject: NAME: 05/05/1996

Progress Note: DATE
Chief Complaint: Acute conjunctivitis and eye redness

Assessment: NAME presented with red and watery eyes for DATE. Vital signs are within normal limits. Physical exam showed evidence of acute conjunctivitis.

Plan: Prescribe antibiotic eye drops, advise warm compresses, and monitor symptoms."
82,"Subject: NAME
DOB: 07/07/1994

Progress Note: DATE
Chief Complaint: Acute tonsillitis and sore throat

Assessment: NAME presented with a sore throat and difficulty swallowing for DATE. Vital signs are within normal limits. A rapid strep test was positive for Streptococcus pyogenes.

Plan: Prescribe antibiotics, advise warm salt water gargles, and monitor symptoms.

"
83,"Progress Note 3:

Patient Name: NAME: DATE
Time: 9:00 AM

Subjective:
NAME reports continued symptoms of headaches, but reports slight improvement with pain medication. Reports difficulty sleeping and decreased appetite.

Objective:
Vitals: BP: 116/72 mmHg, HR: 64 bpm, RR: 14 breaths/min
Physical examination: No signs of distress or abnormalities observed

Assessment:
Possible symptoms of migraine headaches with added sleep disturbance

Plan:

Continue current pain medication
Schedule a follow-up appointment in DATE
Advise to stay hydrated and get plenty of rest
Consider referral to sleep specialist for evaluation of sleep disturbance
"
84,
85,
86,"Progress Note 4:

Patient Name: NAME: DATE
Time: 10:00 AM

Subjective:
NAME reports continued symptoms of headaches, but reports some improvement with pain medication and sleep disturbance with sleep specialist's recommendations. No changes in appetite reported.

Objective:
Vitals: BP: 118/74 mmHg, HR: 66 bpm, RR: 16 breaths/min
Physical examination: No signs of distress or abnormalities observed

Assessment:
Possible symptoms of migraine headaches with improvement in sleep disturbance

Plan:

Continue current pain medication and sleep recommendations from sleep specialist
Schedule a follow-up appointment in DATE
Advise to stay hydrated and get plenty of rest
Consider reducing pain medication dosage if symptoms continue to improve
"
87,"Subject: NAME
DOB: 07/07/1994

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute tonsillitis

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more sore throat or difficulty swallowing. Vital signs are within normal limits.

Plan: Discontinue current medications, advise warm salt water gargles, and schedule a follow-up visit in DATE.

"
88,"Subject: NAME: 05/05/1994

Progress Note: DATE
Chief Complaint: Acute urinary tract infection and dysuria

Assessment: NAME presented with dysuria and frequency for DATE. Vital signs are within normal limits. A urine sample showed evidence of a urinary tract infection.

Plan: Prescribe antibiotics, advise increased fluid intake, and monitor symptoms."
89,"Subject: NAME: 10/10/1991

Progress Note: DATE
Chief Complaint: Acute bronchitis and shortness of breath

Assessment: NAME presented with shortness of breath and a persistent cough for DATE. Vital signs are within normal limits. A chest x-ray showed evidence of acute bronchitis.

Plan: Prescribe antibiotics and bronchodilators, advise rest and hydration, and monitor symptoms."
90,"My backpack weighs 31 pounds, and it barely fit into the trunk of NAME and NAME’s ORGANIZATION. I don’t think they believed I was actually going through with this until I called and asked for a ride up the mountain. NAME gave me that look, that pitying, tight-lipped smile, but she helped NAME and I load up my things, and then they bought me lunch before dropping me off at the trailhead. NAME cried, and NAME gave me a can of pepper spray and an awkward side hug.
So here goes nothing. I’m at Springer Mountain, ORGANIZATION, with zero miles down and only 2,190 miles to go.
See you on the other side.  
Mile 8
I can feel my heartbeat in my feet, but I made it to the first campsite. I’m exhausted, but in that good I-did-a-hard-thing kind of way. I had trouble setting up my tent—broke a nail just getting it out of the bag—but there was another group at the campsite and some nice college kid saw me struggling, jogged over to help, and then had the whole thing up in under a minute. He looked at me funny, and I’m sure he was wondering what I was doing all the way out here instead of lounging on my sofa with a glass of chardonnay and an NAME’s book club novel, but he didn’t pry.
Mile 19
Well, I pooped in the woods DATE. You would have laughed at me as I hunted for the perfect spot, then deposited and buried my own waste like some dainty, purebred housecat.
I laughed at myself too.
Mile 49
I’m already behind schedule. I wasted hours repacking my bag DATE to redistribute the weight, as one hiker told me it would be less strain on my back to move the heavier items to the center. So I took everything out and repacked it as tightly as I could, which took forever. The hiker hovered nearby the entire time, obnoxiously commentating on all my belongings, and when he finally left, I sat down to write, only to find I’d somehow buried my journal. So, I unpacked my whole bag again, rummaging through my gear like a madwoman, just to then see the journal had been sitting on a rock next to me the whole time.
Even in the cold spring air, I was red-faced and sweating.
Mile 65
My feet are killing me, but I think I’ve finally broken in these fresh-out-of-the-box hiking boots.
I fell asleep last night listening to the crickets and thinking about you.
Mile 87
I met an interesting hiker DATE who said this was his second thru hike. He looked DATE older than me and called himself “NAME.” All skin and bones with a long scraggly beard, he looked like a castaway stranded in the woods, though I got the sense he liked the solitude. He’d jutted out his bearded chin at me and said, “Nobo?”
“What?” I huffed out.
“North bound?”
“North bound? Oh. Yes. I am.” I had to pause and catch my breath after each sentence. “Just getting started.”
He looked me over and clicked his tongue. “You’re carrying too much weight.”
I was momentarily offended before realizing he meant my pack. “How?! I left so much behind. I need all of this.”
He was quiet, chewing his lip. “Give it a few more miles. You won’t feel that way then.”
We continued walking; his stride was twice that of mine, but he slowed and matched my speed, and we hiked in companionable silence until I stopped for lunch.
He kept walking. “When you’re ready to let some of that go, you’ll feel much lighter. Trust me.” Then with a final, “take care out there,” he disappeared around the next bend.
His reprimand irritated me, but the frustration kept me going for a good four or five more miles.
I envied him: so confident and free.
He reminded me of you.
Mile 112
I pulled eight ticks off my legs DATE. There were probably more where I couldn’t see them, and that thought kept me awake all night, tossing and turning and twitching in my tent until the exhaustion pulled me into fitful sleep. I dreamt that my hiking boots jumped off a cliff, and I had to walk the rest of the trail with my feet covered in orange plastic ramen noodle wrappers.
Mile 148
I met some thru hikers from ORGANIZATION (which I had completely forgotten was a state) who were both in their 80’s! We talked the whole way, and it helped the miles pass quickly.
They told me the secret to longevity is to never stop moving.
Mile 162
I’ve been making better time; DATE was my record so far—14 miles. A rather uneventful 14 miles, though I did see a porcupine, which was interesting. I always thought they’d be…spikier…?  
At the shelter, I removed three shirts, a book, and a tube of lotion from my backpack and left them in a giveaway box. It made a surprisingly noticeable difference.
Mile 169
Well, those 14 miles about killed me. I slept late today, then took two ibuprofen before even getting out of my tent. My back hurt, my feet hurt—even my earlobes hurt.
The last thing I wanted to do was put those boots back on my swollen feet and walk.
Mile 202
Regret tastes sour and so do the dry ridges of my dehydrated gums.
What am I even doing out here?
Mile 327
I hiked 18 miles DATE but took DATE off. I needed to replenish my food, as I guess there’s going to be a good stretch before I reach another town (I’m still learning how to read maps and plan ahead). I bought groceries and some new clothes, as my pants are starting to hang on me, then checked into a motel and took the first real shower I’ve had since leaving ORGANIZATION. I stood there until the water ran cold, then laid down on the sheets and passed out until my grumbling stomach woke me up. I ordered a large pepperoni pizza and ate the entire thing myself.
Then I called the pizza place back and ordered another one.
Mile 463
Made it into ORGANIZATION. It’s been raining for DATE. The trails are slush, my boots are filthy, and I feel like a wet rag.
I want to go home.
Mile 567
I made a small group of friends who have sort of pulled me into their circle and let me tag along the last 50 miles or so. Melons is a vet tech from ORGANIZATION, whose cleavage makes introductions before she does. NAME is a lanky DATE who wears his pants rolled at the ankles and hikes in crocs. Seems impractical to me, but he says it’s comfortable. Aunt NAME is a hulking middle-aged Norwegian man who loves breakfast food and lugs around a flat top campfire griddle. He’s made us pancakes almost every morning, and it’s become one of my favorite parts of DATE. Easily the largest man I’ve ever met, Aunt NAME often smacks his head on low hanging branches as we hike, eliciting a string of game-like sound effects from ORGANIZATION like “doink” and “boing.”
Their company has changed everything, and I’ve laughed more in DATE than I have in DATE.
Mile 653
DATE was HARD. The terrain was rugged and uneven. I made a game, tracking how many hours ago I could go without tripping.
I never actually made it a whole hour.
Mile 713
Melons, NAME, and Aunt NAME decided to take a detour; NAME’s family lives nearby and invited everyone to stay for DATE, but I wanted to keep going.
We all exchanged contact information, then parted ways.
Mile 806
You don’t feel the blisters until you stop.
Mile 878
I’m tired of hearing my own breathing, tired of TREES, tired of freeze-dried soup, tired of having nothing but time to think about everything I should have done differently in my life.
I don’t know who I thought I was, why I ever thought I could do this.
Mile 900
I almost quit DATE, and then I met an angel.  
I was 7 miles into DATE, feeling like there was no possible way I could make it to the next shelter, nevertheless all the way to the tip of ORGANIZATION, when I walked straight into a spider web, tripped over a rock, then faceplanted in a patch of ferns. I was so angry, I hurled my backpack against a tree, pulling a back muscle in the process. Then I sat down and just sobbed.
Everything hurt; I was sunburned, hungry, and ready to call it quits and admit to the world that I couldn’t do it.
Then the next thing I knew, I was on my back, staring up at the floppy, wet tongue of a gigantic Great Dane. I struggled to sit up, and when I did, it nuzzled its massive head into my shoulder, and without thinking, I draped my arms over its neck. I realized then it was the closest thing I’d had to an embrace since NAME’s stiff-armed goodbye hug.
Shortly after, I heard someone whistling and calling for “NAME,” then saw a gray-haired woman heading down the trail. She took one look at me—at my pack thrown into the ferns, my scraped-up knees, and her dog (which was indeed named NAME) with its head on my shoulder—then looked me right in the eye and asked if I liked lasagna.
She introduced herself as “Zippy” as we walked a side trail up to her place. I could smell oregano before I saw the cabin. She’d made two bubbling-hot pans of the best lasagna I’d ever had and never asked if I wanted seconds of anything, but just continued to load food onto my plate the second I’d cleared it.
After dinner, we sat on her couch and talked about the hike—the solitude, the friendships you make, and the boredom too. I’d gone DATE without really talking to anyone and when she asked why I was doing it, it was like a dam broke within me, and I cried—ugly, shaking sobs that rattled our teacups on the side table. She let me cry, let me talk.
I told her that hiking the AT was never my dream, that I never wanted to put my life on pause to traipse up and down mountains and live out of a backpack for DATE.
Then I told her about you—how this was always your dream, your adventure, how you begged me to hike it with you…bought me my own gear and everything…because I had told you I would.
Then I told her how every time you brought up the hike, I shut you down—put you off with a “maybe DATE,” and “things are so busy with work right now,” or “how about when we retire.”
How naïve I was to think time would wait for us; sometimes hearts stop beating, and they never start up again.
I know I can’t blame myself for that, but I blame myself for giving you the false hope that I’d join you when I never had any intention of looping my arms through that purple backpack you hung in the garage next to yours. You waited for me, and now it’s too late for you. We should have been doing this together, and now you’ll never have the chance.
This hike has been hard—the hardest thing I’ve ever done in my life, but you would have loved every minute of it. And I would have loved to do this with you.
I felt lighter DATE than I had the whole trip. Even with a belly full of lasagna.
Mile 989
How am I STILL in ORGANIZATION?
I left a multitool, some too-big hiking shorts, and an extra flashlight in a shelter box.
Mile 1057
This muggy dog-breath DATE air is making my skin crawl…
I dropped the gasket of my water filter in a creek DATE and stood staring into the brown trickle for several minutes trying to find the thing before I realized I was standing about a foot away from a coiled-up copperhead. My blood turned to ice—a momentary reprieve from the suffocating heat—and then I spun myself away from the thing with the agility of a woman DATE younger.
So, I didn’t get bitten by a snake, but I never did find that gasket.
Mile 1132
You wouldn’t believe who I ran into DATE: Melons, NAME, and Aunt NAME.
I must be that slow of a hiker.
Melons gave me a big hug, squished me right in between her giant bosom. NAME was wearing real boots—said he’d lost his crocs in a river and had to walk a mile and a half in socks before he could buy new shoes. Someone made NAME an apron with a picture of a giant backpacker flipping pancakes. He said he wears it every morning.
Mile 1281
Almost through ORGANIZATION.
I know I’ve complained a lot, but DATE was one of those days where all the blood, sweat, and tears felt like they were worth something. I woke up before sunrise, made hot coffee, and climbed to an overlook where the valley stretched below, still shrouded in shadow. I watched the sun rise and shed light on each curve and dip of the land. Birds chirped all around me, leaves danced in the breeze, and I felt you there with me.
For the first time, I couldn’t wait to get moving.
Mile 1359
Did I tell you I’ve been given a trail name?
Scribe.
Mile 1422
We’ve made it to ORGANIZATION! Melons and I hitchhiked into town DATE and got pedicures, mostly just to see the looks on the beautician’s faces when they saw our feet (that and I was dying for a foot massage). I picked out some bright red nail polish and sunk down into a massage chair, but when I peeled my socks away, my left pinky toenail came clean off and landed right in the sudsy water.
I didn’t feel a thing.
The poor lady painted the nail-less stub of my toe anyway, and now you can hardly tell anything is missing.
Mile 1614
The terrain has been fairly steep DATE but absolutely gorgeous. We’ve made it into ORGANIZATION, and the gang and I stopped for a much-deserved night at a motel. The motel served scrambled eggs at the continental breakfast the next morning, and between the four of us, we must have eaten two dozen eggs. Aunt NAME wasn’t impressed with their pancakes, but he still ate enough for a football team.
Mile 1736
I’ve made it to ORGANIZATION. From ORGANIZATION. WITH MY OWN TWO FEET. I can hardly believe it. There have been so many days when I’ve wanted nothing more than to give up and go home, but now that I’m getting close to the end, I’m almost afraid. What happens when it’s over?
Mile DATE
I beat my own record and walked 24 miles DATE. Every muscle in my body is screaming, and I barely have the energy to hold up this pen, but I just had to say one thing: I’m sorry.
I’m sorry you never got to see what I’ve seen or walk where I’ve walked, but I hope you know that I have carried you with me every step of the way. I know it doesn’t change anything, but wherever you are, I hope you know that you are what has pushed me through these mountains.
Mile DATE
We’re in ORGANIZATION! We celebrated crossing into the last state with way too much beer, and ORGANIZATION, in his inebriated condition, forgot to pack up his food. Well wouldn’t you know, around 1 in the morning, I started hearing this huffing and rustling, and I thought maybe it was NAME getting sick, so I ran out of my tent to check on him and came nose to nose with the ugliest black bear I’ve ever seen. It was missing one ear and had a ragged scar across his eye.
I froze, panicking—what was I supposed to do again? Run? Play dead? Scream? I just knew I was about to be mauled to death, when suddenly Aunt NAME stepped down from the shelter, walked up to that bear with his chest puffed out, and started yodeling. Yes. Yodeling. Deep, reverberating, melodic howls. I’d never heard anything like it in my life, and that bear must have thoroughly hated it, because it took off.
I slept like a rock knowing that ugly bear was off telling all his friends about the terrible yodeling monster I call Aunt NAME.
Mile 2178
DATE, we hike Mount Katahdin—the last leg of the Appalachian trail!!
Mile 2191
It was a grueling trek up 4,000 feet of rocky elevation, but I made it.
I MADE IT!!
There’s a picture of me, Melons, NAME, and NAME, our arms outstretched at the big wooden “Mount Katahdin” sign, and I’ve never seen such a wide smile on my face.
I looked confident—free.
The four of us lingered at the top for a while, reveling in our victory, then the others left me alone:
So you and I could have a few moments to ourselves.
And that’s when I set you free.
I lifted the cap on the small, cylindrical urn I’d carried with me through sunshine and rain for the past 2000 miles, and I sprinkled your ashes into the wind. You spread your wings and flew over the mountain, settling yourself in the rocks and rivers and valleys of beautiful, wild ORGANIZATION.
We’re thru hikers now, you and me.
And I couldn’t have done it without you.

"
